No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,技術要素,セキュリティ,令和6年春期 問20,2024/10/18
2,×,テクノロジ系,コンピュータシステム,コンピュータ構成要素,令和6年春期 問22,2024/10/18
3,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問6,2024/10/18
4,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,令和6年春期 問25,2024/10/18
5,×,テクノロジ系,技術要素,セキュリティ,令和6年春期 問19,2024/10/18
6,○,テクノロジ系,技術要素,ネットワーク,令和6年春期 問7,2024/10/18
7,×,テクノロジ系,技術要素,セキュリティ,令和6年春期 問17,2024/10/18
8,○,テクノロジ系,技術要素,セキュリティ,令和6年春期 問16,2024/10/18
9,×,テクノロジ系,コンピュータシステム,システム構成要素,令和6年春期 問23,2024/10/18
10,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問12,2024/10/18
11,○,テクノロジ系,開発技術,システム開発技術,令和6年春期 問24,2024/10/18
12,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問5,2024/10/18
13,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問11,2024/10/18
14,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問10,2024/10/18
15,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問4,2024/10/18
16,○,テクノロジ系,技術要素,セキュリティ,令和6年春期 問18,2024/10/18
17,○,テクノロジ系,技術要素,セキュリティ,令和6年春期 問21,2024/10/18
18,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問9,2024/10/18
19,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問3,2024/10/18
20,○,テクノロジ系,技術要素,ネットワーク,令和6年春期 問14,2024/10/18
21,○,テクノロジ系,技術要素,セキュリティ,令和6年春期 問8,2024/10/18
22,○,テクノロジ系,技術要素,ネットワーク,令和6年春期 問1,2024/10/18
23,○,テクノロジ系,技術要素,ネットワーク,令和6年春期 問13,2024/10/18
24,×,テクノロジ系,技術要素,ネットワーク,令和6年春期 問2,2024/10/18
25,○,テクノロジ系,技術要素,ネットワーク,令和6年春期 問15,2024/10/18